SampleID,fungicide_treatment,cycle,methanotrophy,methanol_oxidation,methylotrophy,aerobic_nitrite_oxidation,nitrification,sulfate_respiration,sulfur_respiration,sulfite_respiration,thiosulfate_respiration,respiration_of_sulfur_compounds,arsenate_respiration,dissimilatory_arsenate_reduction,nitrate_denitrification,nitrite_denitrification,nitrous_oxide_denitrification,denitrification,chitinolysis,dark_hydrogen_oxidation,nitrogen_fixation,nitrate_ammonification,nitrite_ammonification,nitrite_respiration,cellulolysis,manganese_respiration,fermentation,aerobic_chemoheterotrophy,human_pathogens_all,human_gut,mammal_gut,animal_parasites_or_symbionts,aromatic_hydrocarbon_degradation,aromatic_compound_degradation,aliphatic_non_methane_hydrocarbon_degradation,hydrocarbon_degradation,iron_respiration,nitrate_respiration,nitrate_reduction,nitrogen_respiration,fumarate_respiration,intracellular_parasites,chlorate_reducers,predatory_or_exoparasitic,chloroplasts,cyanobacteria,oxygenic_photoautotrophy,photoautotrophy,photoheterotrophy,phototrophy,ureolysis,reductive_acetogenesis,chemoheterotrophy
1,control,1,494,3096,3590,0,0,11,0,2,0,11,0,0,258,258,258,258,0,48,0,0,0,258,14,4063,2050,40035,4066,10,10,4078,6,4068,1385,1879,4339,5378,11362,5378,4339,37506,765,357,41534,55,55,55,716,771,1033,12,46831
2,control,1,51,4199,4250,0,0,20,0,8,0,20,0,0,91,91,91,91,0,11,0,0,0,91,19,2156,1978,44232,2303,0,0,2303,22,2329,473,524,2244,2603,6824,2603,2238,12761,232,296,18433,14,14,14,393,407,5135,34,50833
3,control,1,107,2220,2327,0,0,346,0,5,0,346,0,0,58,58,58,58,0,0,18,0,0,58,0,2029,7109,38996,182,0,0,182,0,355,165,272,2219,2647,6900,2647,2231,43786,386,313,41905,361,361,361,885,1246,550,133,45968
4,control,1,25,6658,6683,0,0,29,3,0,7,36,3,3,166,166,166,166,32,0,2,3,3,169,312,9007,1967,86997,2425,3,3,2431,13,2440,270,295,9060,9680,18449,9680,9054,15252,386,3448,33555,107,107,107,3180,3287,6190,11,95711
5,control,1,0,602,602,0,0,4,0,0,0,4,0,0,14,14,14,14,0,0,0,0,0,14,8,664,253,25045,308,0,0,308,8,320,37,37,664,678,5988,678,664,30276,0,170,45294,50,50,50,93,143,7105,0,25944
6,control,2,5,8017,8022,5,5,188,287,0,287,475,287,287,352,352,352,352,17,0,0,287,287,639,289,4700,2614,72308,792,0,0,806,89,864,11,94,4863,7189,8717,7189,5072,14555,1759,4780,2811,10,10,10,2255,2265,496,13,82861
7,control,2,0,628,628,0,0,473,403,0,403,876,403,403,65,65,65,65,0,0,0,403,403,468,0,659,4568,88619,29,3,3,32,0,222,0,0,690,1684,1777,1684,1093,23015,526,661,24235,71,71,71,341,412,18,195,93364
8,control,2,0,49,49,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,123294,7,0,0,7,0,0,0,0,10,14,18,14,10,4921,0,2,20537,0,0,0,0,0,55,0,123366
9,control,2,0,3545,3545,0,0,42,2388,0,2388,2430,2388,2388,44,44,44,44,0,45,4,2388,2388,2432,62,1729,3211,110605,156,0,0,156,6,159,6,6,1729,4912,5200,4912,4117,9229,747,591,4936,0,0,0,278,278,194,7,117285
10,control,2,0,2178,2178,0,0,61,350,0,350,411,350,350,24,24,24,24,0,0,0,350,350,374,2,1187,1450,72091,49,74,74,123,0,57,0,0,1187,1931,2110,1931,1537,18520,367,294,8632,0,0,0,315,315,71,11,75719
11,control,3,0,7688,7688,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,5,1097,48,95967,44,0,0,44,0,44,0,0,1097,1097,1116,1097,1097,31515,0,7837,20318,0,0,0,161,161,533,0,103701
12,control,3,0,2771,2771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,344,12,38516,580,0,0,580,0,547,0,0,344,348,348,348,344,24102,0,10067,6384,0,0,0,96,96,127,0,41299
13,control,3,0,8665,8665,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,1003,6,92198,535,0,0,535,0,523,0,0,1003,1015,1021,1015,1003,41228,0,30824,19321,11,11,11,46,57,322,0,100869
14,control,3,5,5230,5235,0,0,0,0,0,0,0,0,0,10,10,10,10,22,10,0,0,0,10,0,581,55,43913,210,0,0,210,0,158,0,5,581,684,731,684,581,53107,18,81456,13350,0,0,0,57,57,561,0,49193
15,control,3,0,3715,3715,0,0,0,12,0,12,12,12,12,8,8,8,8,10,8,0,12,12,20,0,529,201,78805,31,0,0,31,0,29,0,0,529,641,688,641,541,15748,59,31800,6671,0,0,0,28,28,318,0,82713
16,TU-1,1,17,2334,2351,0,0,21,0,0,0,21,0,0,229,229,229,229,30,47,0,0,0,229,105,3224,947,39231,1508,0,0,1511,62,1568,105,159,3235,3588,8826,3588,3187,5642,162,827,19132,15,15,15,1481,1496,3998,12,42306
17,TU-1,1,29,1805,1834,2,2,18,0,0,0,18,0,0,41,41,41,41,0,0,0,0,0,41,54,2268,1749,30372,796,0,0,796,19,830,158,200,2308,2460,11671,2460,2295,11135,124,617,19836,31,31,31,924,955,2634,5,33765
18,TU-1,1,40,2662,2702,0,0,50,0,0,0,50,0,0,181,181,181,181,26,30,3,0,0,181,49,3868,1945,21336,1031,0,0,1034,8,1150,246,286,3903,4282,6294,4282,3901,20904,200,399,8346,110,110,110,585,695,719,94,25705
19,TU-1,1,101,2885,2986,3,3,30,0,0,0,30,0,0,49,49,49,49,6,0,0,0,0,49,55,3467,3254,34251,2293,0,0,2293,21,2278,699,800,3513,3770,8588,3770,3507,48203,136,611,7786,171,171,171,500,671,1228,65,40820
20,TU-1,1,92,1533,1625,0,0,14,0,0,0,14,0,0,103,103,103,103,32,10,7,0,0,103,91,3557,811,46541,525,0,0,528,13,551,115,207,3606,3838,7496,3838,3606,8079,129,1917,10232,101,101,101,2009,2110,5096,0,48879
21,TU-1,2,0,1604,1604,0,0,33,65,0,65,98,65,65,47,47,47,47,0,16,0,65,65,112,97,729,1199,83384,330,191,191,521,31,362,0,31,729,1012,1480,1012,763,14449,191,311,31674,15,15,15,325,340,84,8,86188
22,TU-1,2,2,718,720,0,0,0,12,0,12,12,12,12,67,67,67,67,0,14,0,12,12,79,5,1670,902,105659,104,0,0,104,53,151,27,82,1670,1733,2199,1733,1629,18577,37,2058,42016,4,4,4,364,368,466,0,107144
23,TU-1,2,0,589,589,0,0,25,49,0,49,74,49,49,55,55,55,55,0,0,0,49,49,104,3,704,1329,135642,228,2,2,230,57,279,11,59,704,812,1021,812,705,12838,41,616,9505,48,48,48,263,311,76,5,137577
24,TU-1,2,0,1383,1383,0,0,557,594,0,594,1151,594,594,136,136,136,136,0,2,0,594,594,730,0,866,4651,62851,100,0,0,100,0,185,0,0,932,2438,2555,2438,1526,7912,773,214,3690,117,117,117,356,473,12,37,68869
25,TU-1,2,0,484,484,0,0,23,39,0,39,62,39,39,45,45,45,45,14,20,0,39,39,84,6,535,342,129335,49,0,0,49,25,72,0,25,535,647,683,647,549,15463,53,220,26541,5,5,5,248,253,26,0,130159
26,TU-1,3,0,8112,8112,0,0,0,0,0,0,0,0,0,10,10,10,10,0,10,0,0,0,10,3,2377,50,122705,851,0,0,851,0,842,0,0,2377,2420,2467,2420,2377,8783,24,2028,9079,0,0,0,135,135,267,0,130857
27,TU-1,3,0,6930,6930,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,35,1494,18,112093,669,0,0,671,0,643,0,0,1494,1494,1507,1494,1494,15240,0,19294,14193,3,3,3,158,161,421,0,119041
28,TU-1,3,0,3972,3972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,47,85441,201,0,0,201,0,200,0,0,550,550,584,550,550,43678,0,29089,16315,0,0,0,89,89,254,0,89460
29,TU-1,3,0,2616,2616,0,0,0,0,0,0,0,0,0,41,41,41,41,0,41,0,0,0,41,0,440,145,31246,226,0,0,228,6,198,6,6,440,481,620,481,440,21100,0,94548,13072,2,2,2,48,50,142,0,33972
30,TU-1,3,7,7224,7231,0,0,0,0,0,0,0,0,0,86,86,86,86,53,6,0,0,0,86,5,798,332,53744,1757,0,0,1764,43,1747,0,50,798,862,1226,862,755,25641,11,66020,8705,17,17,17,154,171,163,0,61350