"","X","Extraction_ID","Fwd_Index","Rev_Index","Sequencing_ID_ITS","fungicide_treatment","shredder","replicate_num","sample_date","cycle","Conidia","Sample_combo","richness","S","H","simpson","inversimp","J","evenness"
"1","NG-18809-DFG-ITS1-13_lib318461_6317_1",19,"N501","RPI14","DFG_ITS1_13","control","w/o",3,"17.02.15",2,"Y","control_without_cycle2",145,145,2.33456690472378,0.816677605943241,5.45487094004667,0.469096203565091,0.0376197995865288
"2","NG-18809-DFG-ITS1-14_lib318462_6317_1",20,"N501","RPI15","DFG_ITS1_14","control","w/o",1,"03.02.15",1,"Y","control_without_cycle1",183,183,3.13061773689971,0.912589411124139,11.4402615616763,0.600945591378945,0.0625150905009632
"3","NG-18809-DFG-ITS1-15_lib318463_6317_1",21,"N501","RPI16","DFG_ITS1_15","TU-1","w/o",5,"17.02.15",2,"Y","TU-1_without_cycle2",139,139,2.11137718878228,0.78430470104019,4.63616965609588,0.427882934917586,0.0333537385330639
"4","NG-18809-DFG-ITS1-16_lib318464_6317_1",22,"N501","RPI17","DFG_ITS1_16","TU-1","w/o",3,"17.02.15",2,"Y","TU-1_without_cycle2",128,128,2.34803428650076,0.783140579887953,4.61128227440302,0.483928202995986,0.0360256427687736
"5","NG-18809-DFG-ITS1-21_lib318469_6317_1",27,"N501","RPI22","DFG_ITS1_21","TU-1","w/o",2,"17.02.15",2,"Y","TU-1_without_cycle2",81,81,2.28985135454117,0.746295282775667,3.9415900931624,0.521078131511994,0.0486616060884247
"6","NG-18809-DFG-ITS1-24_lib318472_6317_1",30,"N501","RPI25","DFG_ITS1_24","control","w/o",5,"17.02.15",2,"Y","control_without_cycle2",118,118,2.93171368873346,0.90894703273621,10.9826184697847,0.614526827805521,0.0930730378795317
"7","NG-18809-DFG-ITS1-30_lib318478_6317_1",36,"N501","RPI31","DFG_ITS1_30","control","w/o",2,"03.03.15",3,"Y","control_without_cycle3",84,84,1.57685793964815,0.724639239507891,3.63159949955417,0.355884255936692,0.0432333273756449
"8","NG-18809-DFG-ITS1-34_lib318482_6317_1",40,"N502","RPI3","DFG_ITS1_34","control","w/o",3,"03.03.15",3,"Y","control_without_cycle3",65,65,1.74914033669049,0.792110076372566,4.81023794973408,0.419017264954005,0.0740036607651397
"9","NG-18809-DFG-ITS1-36_lib318484_6317_1",42,"N502","RPI5","DFG_ITS1_36","control","w/o",2,"03.02.15",1,"Y","control_without_cycle1",160,160,2.83756885355368,0.866069770468061,7.46657422670605,0.559107718643316,0.0466660889169128
"10","NG-18809-DFG-ITS1-4_lib318452_6317_1",9,"N501","RPI5","DFG_ITS1_4","control","w/o",7,"03.03.15",3,"Y","control_without_cycle3",68,68,1.84928905087566,0.769878103068644,4.34552301773478,0.438271281886066,0.0639047502608057
"11","NG-18809-DFG-ITS1-45_lib318493_6317_1",51,"N502","RPI14","DFG_ITS1_45","control","w/o",7,"03.02.15",1,"Y","control_without_cycle1",218,218,3.41373194158646,0.932485465847755,14.8116255641341,0.633992956029975,0.067943236532725
"12","NG-18809-DFG-ITS1-47_lib318495_6317_1",53,"N502","RPI16","DFG_ITS1_47","control","w/o",7,"17.02.15",2,"Y","control_without_cycle2",78,78,2.9501873595471,0.910195563640015,11.1353073470832,0.677159635152568,0.14276035060363
"13","NG-18809-DFG-ITS1-5_lib318453_6317_1",10,"N501","RPI6","DFG_ITS1_5","control","w/o",5,"03.03.15",3,"Y","control_without_cycle3",81,81,1.71712823315827,0.737962213842129,3.81624350694799,0.390749368742272,0.0471141173697283
"14","NG-18809-DFG-ITS1-6_lib318454_6317_1",11,"N501","RPI7","DFG_ITS1_6","control","w/o",1,"03.03.15",3,"Y","control_without_cycle3",89,89,2.07180780463974,0.824754824117837,5.70629117158928,0.461567307748607,0.0641156311414526
"15","NG-18809-DFG-ITS1-8_lib318456_6317_1",13,"N501","RPI9","DFG_ITS1_8","TU-1","w/o",3,"03.03.15",3,"Y","TU-1_without_cycle3",104,104,1.5109210518665,0.681089595880742,3.13567693961482,0.325321680426561,0.0301507398039887
"16","NG-18810-DFG-ITS2-0_lib317646_6313_1",54,"N502","RPI17","DFG_ITS2_0","control","w/o",2,"17.02.15",2,"Y","control_without_cycle2",114,114,2.88274206468086,0.898930429510989,9.89417482593073,0.608661587155004,0.0867910072450064
"17","NG-18810-DFG-ITS2-15_lib318510_6313_1",69,"N502","RPI32","DFG_ITS2_15","TU-1","w/o",1,"03.02.15",1,"Y","TU-1_without_cycle1",132,132,2.9311693186413,0.852035057305065,6.75835763381963,0.60030477687055,0.0511996790440881
"18","NG-18810-DFG-ITS2-18_lib318513_6313_1",72,"N503","RPI3","DFG_ITS2_18","TU-1","w/o",3,"03.02.15",1,"Y","TU-1_without_cycle1",158,158,3.11768497710805,0.886973753769029,8.84750253455718,0.615827447538097,0.0559968514845391
"19","NG-18810-DFG-ITS2-20_lib318515_6313_1",74,"N503","RPI5","DFG_ITS2_20","control","w/o",5,"03.02.15",1,"Y","control_without_cycle1",188,188,2.97766392100532,0.85671105815892,6.97890560954164,0.568642590167484,0.0371218383486258
"20","NG-18810-DFG-ITS2-21_lib318516_6313_1",75,"N503","RPI6","DFG_ITS2_21","TU-1","w/o",1,"03.03.15",3,"Y","TU-1_without_cycle3",73,73,1.71534928775362,0.696433412258109,3.29417017675956,0.399805501318173,0.04512561885972
"21","NG-18810-DFG-ITS2-24_lib318519_6313_1",78,"N503","RPI9","DFG_ITS2_24","TU-1","w/o",2,"03.03.15",3,"Y","TU-1_without_cycle3",97,97,1.87944125409708,0.763637213453166,4.23078444204184,0.410832785487126,0.0436163344540396
"22","NG-18810-DFG-ITS2-26_lib318521_6313_1",80,"N503","RPI11","DFG_ITS2_26","control","w/o",3,"03.02.15",1,"Y","control_without_cycle1",158,158,3.3223435622084,0.887895278550367,8.92023089722658,0.6562530758503,0.0564571575773834
"23","NG-18810-DFG-ITS2-27_lib318522_6313_1",81,"N503","RPI12","DFG_ITS2_27","TU-1","w/o",5,"03.03.15",3,"Y","TU-1_without_cycle3",60,60,1.35819665397546,0.681587808957716,3.14058326952439,0.331725049842492,0.0523430544920731
"24","NG-18810-DFG-ITS2-28_lib318523_6313_1",82,"N503","RPI13","DFG_ITS2_28","control","w/o",1,"17.02.15",2,"Y","control_without_cycle2",110,110,2.55320095253549,0.831051219292082,5.91895363677598,0.543178729373346,0.0538086694252362
"25","NG-18810-DFG-ITS2-3_lib318498_6313_1",57,"N502","RPI20","DFG_ITS2_3","TU-1","w/o",5,"03.02.15",1,"Y","TU-1_without_cycle1",137,137,3.06918656023792,0.895528996205343,9.57203399677823,0.623820825021048,0.069868861290352
"26","NG-18810-DFG-ITS2-34_lib318529_6313_1",88,"N503","RPI19","DFG_ITS2_34","TU-1","w/o",7,"03.03.15",3,"Y","TU-1_without_cycle3",99,99,2.31970367715937,0.835731087601031,6.08757911278576,0.504818971607765,0.0614906981089471
"27","NG-18810-DFG-ITS2-39_lib318534_6313_1",93,"N503","RPI24","DFG_ITS2_39","TU-1","w/o",2,"03.02.15",1,"Y","TU-1_without_cycle1",169,169,2.75402874069727,0.868126484366373,7.58302374206973,0.53685830729673,0.0448699629708268
"28","NG-18810-DFG-ITS2-42_lib318537_6313_1",96,"N503","RPI27","DFG_ITS2_42","TU-1","w/o",7,"03.02.15",1,"Y","TU-1_without_cycle1",180,180,2.67012113065458,0.822809892842109,5.64365593564949,0.514181266535432,0.0313536440869416
"29","NG-18810-DFG-ITS2-43_lib318538_6313_1",97,"N503","RPI28","DFG_ITS2_43","TU-1","w/o",7,"17.02.15",2,"Y","TU-1_without_cycle2",57,57,2.31575083629751,0.791136950208673,4.78782628616736,0.57277305749769,0.0839969523889011
"30","NG-18810-DFG-ITS2-9_lib318504_6313_1",63,"N502","RPI26","DFG_ITS2_9","TU-1","w/o",1,"17.02.15",2,"Y","TU-1_without_cycle2",125,125,3.2217575851673,0.897526927858329,9.75866126681052,0.667263512782286,0.0780692901344841
