Number replicate,cycle,fungicide_treatment,Alatospora acuminata,Alatospora pulchella,Alatospora sp.,Anguillospora rosea,Articulospora tetracladia,Cylindrocarpon aquatica,Cylindrocarpon sp.,Filosporella sp.,Flagellospora curvula,Flagellospora fusaroides,Fontanospora eccentrica,Fusarium sp.,Lemoniera cornuta,Lemonniera sp. 1,Lemonniera aquatica,Lemonniera terrestris,Stenocladiella neglecta,Tetrachaetum elegans,Tetracladium marchalianum,Tetracladium sp.,Tricladium chaetocladium,Ypsiliana graminea
1,2,control,670.4570724,0,0,0,0,0,0,74.49523026,30.67450658,0,0,0,0,35.05657895,0,0,0,482.0279605,26.29243421,0,4.382072368,0
2,2,control,1541.762421,173.5759017,0,0,81.68277728,0,20.42069432,0,0,51.0517358,0,0,0,122.5241659,10.21034716,0,357.3621506,459.4656222,918.9312444,0,0,0
3,2,control,1826.918171,45.22074681,0,0,0,0,0,0,0,9.044149361,0,0,0,0,0,0,81.39734425,741.6202476,316.5452276,0,0,27.13244808
5,2,control,896.8930693,0,0,0,40.76786679,0,0,0,30.57590009,0,0,0,0,264.9911341,20.38393339,10.1919667,5.095983348,280.2790842,15.28795005,0,10.1919667,0
7,2,control,1324.152232,53.20254503,0,29.55696946,17.73418168,0,0,0,0,0,0,0,5.911393892,11.82278778,0,0,0,803.9495693,5.911393892,5.911393892,0,0
1,2,TU-1,477.536258,0,0,0,0,0,0,0,0,0,0,0,0,68.7975965,32.37533953,0,178.0643674,756.7735615,4.046917441,0,0,0
2,2,TU-1,381.8283664,23.21929255,0,0,2.579921394,0,0,0,0,0,0,0,0,0,0,0,178.0145762,250.2523753,5.159842789,0,0,0
3,2,TU-1,245.0065351,0,0,0,0,0,0,0,0,0,0,0,0,46.35258772,3.310899123,0,62.90708333,281.4264254,440.3495833,36.41989035,0,0
5,2,TU-1,1571.303566,21.97627365,0,0,54.94068413,0,0,0,0,0,0,5.494068413,0,16.48220524,0,0,313.1618996,137.3517103,43.95254731,0,0,0
7,2,TU-1,920.0160938,14.15409375,0,0,7.077046875,0,0,0,0,0,0,0,0,21.23114063,7.077046875,0,283.081875,1174.789781,0,0,0,0
1,3,control,149.353262,0,4.595484984,0,16.08419744,4.595484984,0,0,57.4435623,0,25.27516741,0,0,71.23001725,0,0,291.8132965,41.35936485,55.14581981,2.297742492,2.297742492,6.893227476
2,3,control,1920.467346,0,0,8.313711454,91.45082599,0,8.313711454,0,0,0,0,0,0,41.56855727,0,0,448.9404185,606.9009361,257.7250551,0,0,0
3,3,control,1691.530759,52.53201113,0,0,31.51920668,0,0,0,0,0,0,0,0,0,0,0,0,10.50640223,78.7980167,0,0,10.50640223
5,3,control,1456.795614,44.14532164,0,0,16.55449561,0,0,0,5.518165205,38.62715643,0,0,0,38.62715643,0,0,5.518165205,55.18165205,77.25431287,27.59082602,0,5.518165205
7,3,control,2504.687558,34.78732719,0,817.5021889,0,156.5429724,0,0,295.6922811,1948.090323,0,0,0,0,0,0,208.7239631,226.1176267,52.18099078,0,0,0
1,3,TU-1,379.3079489,0,0,0,0,0,0,0,1741.085667,0,0,0,0,93.27244646,0,0,136.7995881,74.61795717,37.30897858,0,0,0
2,3,TU-1,267.6509768,21.84905933,21.84905933,0,5.462264834,0,0,0,1305.481295,0,0,0,0,16.3867945,0,0,103.7830318,49.1603835,103.7830318,0,0,0
3,3,TU-1,2191.213238,0,0,0,0,0,0,0,6.019816587,0,0,0,0,6.019816587,0,0,216.7133971,90.2972488,36.11889952,0,0,0
5,3,TU-1,6259.697799,79.74137324,0,0,59.80602993,0,0,0,39.87068662,0,0,0,0,578.124956,0,0,1235.991285,119.6120599,917.0257923,19.93534331,0,0
7,3,TU-1,574.033565,30.86201962,0,0,3.086201962,0,0,0,24.6896157,0,0,0,0,12.34480785,0,0,120.3618765,114.1894726,43.20682747,15.43100981,0,0